PWGTP,HISP,CIT,POWSP,RAC1P,SEX
43,1,5,6,1,1
138,1,1,6,2,1
90,1,1,6,1,2
100,1,1,6,1,2
127,2,5,6,8,1
115,1,4,4,6,2
243,1,4,6,6,1
229,1,4,6,6,2
207,1,1,6,6,2
206,1,1,6,6,2
191,1,1,6,6,1
75,1,1,1,1,1
116,1,1,1,1,1
12,1,1,5,1,1
9,1,1,5,1,2
71,1,1,1,2,2
72,1,1,5,2,1
65,1,1,5,2,2
100,1,1,5,2,1
58,1,1,6,1,2
74,2,5,4,8,1
80,2,5,4,8,2
66,2,1,4,8,1
343,2,1,6,8,1
307,1,1,6,1,1
305,1,1,6,1,2
75,1,4,6,6,1
86,1,4,6,6,2
46,1,1,5,1,1
53,2,4,6,1,2
42,2,4,6,1,1
80,1,1,6,1,2
179,1,1,6,1,2
263,1,1,6,9,1
