PWGTP,RAC1P,POWSP,HISP,SEX,CIT,WAOB,COW,SOCP
58,1,51,1,1,1,1,1,151150
51,1,21,1,1,1,1,4,151121
58,6,13,1,1,5,4,1,151121
88,1,37,1,2,1,1,1,151199
71,1,8,1,2,1,1,2,151121
59,1,37,1,1,1,1,1,151131
91,6,53,1,2,4,4,1,151131
127,2,17,1,2,1,1,1,151199
72,6,36,1,1,4,4,1,151150
114,1,42,1,1,1,1,1,151150
148,6,53,1,1,5,4,1,15113X
106,6,53,1,2,5,4,1,15113X
67,1,24,1,1,1,1,1,15113X
62,1,24,2,2,1,1,6,151150
66,1,6,1,1,1,1,1,15113X
165,1,48,1,1,1,1,4,151150
79,1,24,1,1,1,1,5,151150
158,1,36,1,1,1,1,7,151131
231,1,4,1,2,1,1,1,151121
67,1,42,1,1,1,1,1,151131
54,6,51,1,2,4,4,1,15113X
71,2,22,1,2,1,1,1,151141
126,1,37,1,1,1,1,1,172070
96,1,15,1,1,4,5,2,151121
156,6,51,1,1,5,4,1,15113X
72,6,6,1,1,1,1,2,15113X
83,1,27,1,1,1,1,1,151134
77,1,42,1,1,1,1,1,15113X
59,1,25,1,1,1,1,1,151121
250,1,53,1,1,1,1,1,151131
72,1,1,3,2,1,1,1,151150
68,1,24,1,1,1,1,1,151121
119,1,12,16,2,1,1,1,15113X
77,1,36,1,1,1,1,4,151142
97,1,23,1,2,1,1,1,151121
57,1,6,1,1,1,1,1,15113X
63,6,6,1,1,4,4,1,151121
63,1,41,1,1,1,1,1,15113X
83,1,21,1,1,1,1,2,151121
10,1,17,1,2,1,1,4,151199
44,2,37,1,2,1,1,1,151121
121,1,51,1,1,1,1,1,151131
60,1,26,1,1,1,1,1,151121
144,1,36,14,1,4,3,1,151131
67,6,6,1,1,5,4,1,15113X
183,1,37,1,1,1,1,1,151150
13,1,35,24,1,1,1,3,151199
137,1,53,1,1,1,1,1,151150
87,1,51,1,1,1,1,1,151142
117,1,6,1,1,1,1,1,151134
40,1,13,1,1,1,1,1,151121
102,1,37,1,2,1,1,1,151150
157,6,25,1,1,5,4,1,151199
98,6,34,1,1,1,1,1,151150
59,1,51,1,1,1,1,1,151199
36,1,8,1,2,1,1,2,151141
134,1,34,1,1,1,1,1,151150
46,1,13,1,2,1,1,1,151199
31,1,42,1,2,1,1,1,151131
72,1,48,1,1,1,1,1,151199
129,1,18,1,1,1,1,1,151131
54,1,45,1,1,1,1,1,151199
54,6,6,1,1,4,4,4,151121
205,6,6,1,2,1,1,1,15113X
142,6,53,1,1,4,4,7,15113X
158,1,45,1,1,1,1,1,15113X
95,2,4,1,1,1,1,1,15113X
166,1,26,1,2,3,7,7,151134
29,1,53,1,1,1,1,6,151131
31,1,19,1,2,1,1,5,15113X
331,1,39,1,2,1,1,1,151134
83,1,25,1,1,1,1,1,151121
83,1,36,1,1,1,1,1,15113X
76,1,37,1,1,1,1,1,151199
174,1,27,1,2,1,1,1,151199
60,1,51,1,1,1,1,4,151134
121,1,27,1,1,1,1,1,151121
105,1,8,1,2,1,1,1,151150
126,1,26,1,1,1,1,1,151150
64,6,4,1,2,5,4,1,151150
110,1,1,1,1,1,1,1,151131
78,2,25,1,1,1,1,6,151131
78,1,24,1,1,1,1,5,151150
86,1,36,1,1,1,1,1,15113X
76,1,48,1,1,1,1,1,151150
113,1,37,1,1,1,1,3,151199
48,6,6,1,1,4,5,1,151142
56,1,12,1,1,1,1,1,15113X
67,1,13,1,2,1,1,7,151121
60,1,13,1,1,1,1,1,15113X
173,1,42,1,2,1,1,1,151199
36,1,48,2,1,1,1,2,151199
124,1,36,1,1,1,1,1,151142
148,6,48,1,1,5,4,1,151121
113,6,6,1,2,1,1,1,151121
109,1,39,1,1,1,1,1,151121
82,1,8,16,2,3,3,1,151121
35,1,54,1,1,1,1,1,151131
90,1,17,1,2,1,1,1,151121
130,6,37,1,1,5,4,1,15113X
86,1,25,1,1,1,1,1,151121
245,1,36,1,2,1,1,1,151134
68,1,6,1,1,1,1,1,151150
85,1,19,1,1,1,1,1,151199
87,1,51,23,1,1,1,5,15113X
16,1,42,1,1,1,1,1,15113X
116,1,6,1,1,4,4,1,15113X
107,1,55,1,1,1,1,1,151199
80,1,13,1,1,1,1,1,151143
139,1,53,1,1,1,1,4,151150
70,1,13,1,2,1,1,3,151199
99,1,36,1,1,1,1,1,15113X
91,1,17,1,1,1,1,6,151150
216,1,29,1,1,1,1,2,151199
192,9,37,1,1,1,1,1,15113X
170,1,39,1,1,1,1,1,15113X
44,1,42,1,1,1,1,1,15113X
40,1,55,1,1,1,1,3,151131
67,1,9,1,2,1,1,1,151150
72,1,37,1,1,1,1,1,151150
156,1,45,1,1,1,1,6,151134
104,1,24,1,1,1,1,1,151121
