PWGTP,HISP,POWSP,RAC1P,WAOB,CIT,SEX,SOCP
61,1,8,1,1,1,1,113021
243,1,55,1,1,1,1,151121
63,1,36,1,1,1,1,151150
51,2,6,1,1,1,1,151131
245,1,42,1,1,1,2,15113X
19,1,12,1,1,1,1,151142
23,1,47,6,1,1,1,15113X
91,1,48,1,1,1,1,151131
101,1,26,2,1,1,2,113021
62,1,37,1,1,1,2,151121
56,2,37,1,1,1,1,113021
407,2,6,8,1,1,1,15113X
79,1,29,1,1,1,2,151150
66,1,24,1,1,1,2,151131
90,1,18,3,1,1,1,15113X
73,1,8,1,1,1,2,151121
96,1,36,1,1,1,1,151121
95,1,6,6,1,1,1,151134
121,1,27,1,1,1,2,151121
92,1,21,1,1,1,2,113021
98,1,6,1,1,1,2,151121
263,1,29,6,4,5,1,151131
70,1,13,1,1,1,1,151150
90,1,6,1,1,1,1,151121
15,1,22,2,1,1,2,151199
90,1,24,6,4,4,1,151141
78,1,11,6,4,4,2,151141
92,1,51,6,1,1,1,151199
117,1,48,1,1,1,1,151121
61,1,20,1,1,1,1,15113X
90,1,39,1,5,3,1,113021
65,1,36,1,1,1,1,151131
68,1,12,1,1,1,1,113021
196,2,31,1,1,1,1,151150
80,1,48,6,4,4,1,113021
52,1,36,6,4,4,1,15113X
70,1,12,1,1,1,1,151121
182,1,6,6,4,4,1,151131
86,1,51,1,1,1,1,113021
74,1,6,6,4,3,2,113021
73,1,6,6,4,3,1,15113X
35,1,31,1,1,1,1,151131
87,1,17,1,1,1,1,151121
97,1,17,1,1,1,2,151121
67,1,48,1,1,1,1,151199
85,1,37,1,1,1,1,113021
117,1,36,1,1,1,1,151199
21,1,48,9,5,3,1,113021
20,1,9,1,1,1,1,151150
79,1,25,1,1,1,2,113021
374,1,6,6,4,5,2,15113X
64,1,34,1,1,1,1,151143
103,1,6,6,4,4,1,15113X
109,1,6,6,4,4,2,15113X
71,1,36,1,1,1,1,113021
139,1,36,1,1,1,1,151131
145,1,36,1,1,1,1,151199
82,1,48,1,1,1,1,15113X
100,1,48,1,1,1,1,151131
80,1,6,1,1,1,1,151121
76,1,49,1,1,1,1,151131
170,1,12,1,1,1,1,151150
61,5,24,1,3,4,1,113021
79,1,12,1,1,1,1,15113X
109,1,23,1,1,1,1,151131
69,1,17,1,5,4,1,151134
97,1,48,1,1,1,1,151121
73,1,1,1,5,3,1,151121
69,1,25,1,1,1,1,151121
60,1,34,1,1,1,1,151134
68,1,4,1,1,1,1,151150
73,1,17,6,4,5,2,15113X
91,1,29,1,1,1,1,151142
61,2,49,1,3,4,1,151121
108,1,12,1,1,1,1,151150
61,1,6,1,1,1,1,151131
269,1,13,1,1,1,1,151150
139,1,6,1,5,5,1,15113X
64,1,12,1,1,1,1,151131
84,1,49,1,1,1,1,15113X
99,1,34,1,1,1,1,15113X
100,1,34,1,6,4,2,15113X
169,1,48,1,1,1,2,113021
243,1,51,1,1,1,1,151142
82,1,9,1,1,1,1,151131
120,1,42,1,1,1,1,15113X
