"","PWGTP","SEX","RAC1P","POWSP","HISP","SOCP"
"765","20","2","1","41","1","151150"
"766","159","1","1","6","1","151142"
"767","63","2","6","6","1","15113X"
"768","199","1","1","6","1","151131"
"769","87","1","1","55","1","151142"
"770","119","1","1","37","1","15113X"
"771","136","1","1","53","1","15113X"
"772","87","1","6","26","1","151199"
"773","164","1","1","48","1","151121"
"774","242","2","1","1","1","151131"
"775","88","1","1","6","1","151134"
"776","163","1","1","12","1","172061"
"777","153","1","1","36","2","151131"
"778","128","1","1","53","1","15113X"
"779","280","1","6","25","1","15113X"
"780","64","1","1","53","1","151150"
"781","540","2","2","48","1","151150"
"782","57","1","1","20","1","151121"
"783","98","2","1","22","1","151131"
"784","94","1","1","22","1","151131"
"785","68","2","1","36","1","151131"
"786","74","1","1","37","1","151199"
"787","17","2","1","37","1","151121"
"788","120","1","6","36","1","151131"
"789","53","1","1","51","1","151131"
"790","101","1","1","48","2","15113X"
"791","58","1","6","12","1","15113X"
"792","59","1","6","12","1","151134"
"793","89","2","1","6","3","15113X"
"794","71","1","1","4","1","15113X"
"795","58","1","1","36","3","151142"
"796","84","1","1","36","1","15113X"
"797","72","1","6","6","1","151150"
"798","60","1","1","32","1","151150"
"799","85","2","9","25","1","151121"
"800","14","1","1","41","1","151121"
"801","70","2","1","53","21","15113X"
